"","bra_degs_uni"
"1","gene16757"
"2","gene6022"
"3","gene25561"
"4","gene4541"
"5","gene25946"
"6","gene4636"
"7","gene19148"
"8","gene26670"
"9","gene2549"
"10","gene9351"
"11","gene1170"
"12","gene20943"
"13","gene5448"
"14","gene3612"
"15","gene1236"
"16","gene10784"
"17","gene1513"
"18","gene21732"
"19","gene10919"
"20","gene12310"
"21","gene1996"
"22","gene16639"
"23","gene3499"
"24","gene3593"
"25","gene4705"
"26","gene12725"
"27","gene21037"
"28","gene23966"
"29","gene3880"
"30","gene1067"
"31","gene11190"
"32","gene19029"
"33","gene21462"
"34","gene17464"
"35","gene6559"
"36","gene16236"
"37","gene24406"
"38","gene15776"
"39","gene24536"
"40","gene20152"
"41","gene6495"
"42","gene12651"
"43","gene22380"
"44","gene5625"
"45","gene4815"
"46","gene9458"
"47","gene14040"
"48","gene25646"
"49","gene17369"
"50","gene2190"
"51","gene11050"
"52","gene16210"
"53","gene3465"
"54","gene17986"
"55","gene18326"
"56","gene18381"
"57","gene3147"
"58","gene7214"
"59","gene749"
"60","gene3778"
"61","gene20246"
"62","gene968"
"63","gene15847"
"64","gene4160"
"65","gene4967"
"66","gene15551"
"67","gene22287"
"68","gene25483"
"69","gene7332"
"70","gene14595"
"71","gene13050"
"72","gene5700"
"73","gene23032"
"74","gene13613"
"75","gene23092"
"76","gene16470"
"77","gene5918"
"78","gene11090"
"79","gene868"
"80","gene11126"
"81","gene12103"
"82","gene15744"
"83","gene1824"
"84","gene5432"
"85","gene12060"
"86","gene7008"
"87","gene7378"
"88","gene24592"
"89","gene498"
"90","gene772"
"91","gene7493"
"92","gene8246"
"93","gene13602"
"94","gene5431"
"95","gene19020"
"96","gene24051"
"97","gene9998"
"98","gene14293"
"99","gene19271"
"100","gene24053"
"101","gene5401"
"102","gene7206"
"103","gene16844"
"104","gene8911"
"105","gene11730"
"106","gene14078"
"107","gene17335"
"108","gene24593"
"109","gene25813"
"110","gene18044"
"111","rna46628"
"112","gene2646"
"113","gene15570"
"114","gene6067"
"115","gene12495"
"116","gene3977"
"117","gene14746"
"118","gene12752"
"119","gene7390"
"120","gene20156"
"121","gene5007"
"122","gene25196"
"123","gene4288"
"124","gene16772"
"125","gene16613"
"126","gene5618"
"127","gene6908"
"128","gene21253"
"129","gene1246"
"130","gene20500"
"131","gene19257"
"132","gene22987"
"133","gene23864"
"134","gene24006"
"135","gene10579"
"136","gene5034"
"137","gene16709"
"138","gene10991"
"139","gene11384"
"140","gene25815"
"141","gene25948"
"142","gene19044"
"143","gene23481"
"144","gene24949"
"145","gene2719"
"146","gene24716"
"147","gene5415"
"148","gene15058"
"149","gene5183"
"150","gene15085"
"151","gene19716"
"152","gene9319"
"153","gene9324"
"154","gene3469"
"155","gene19755"
"156","gene24257"
"157","gene21844"
"158","gene23453"
"159","gene19082"
"160","gene20861"
"161","gene22168"
"162","gene20408"
"163","gene22250"
"164","gene3239"
"165","gene11075"
"166","gene7469"
"167","gene10274"
"168","gene13409"
"169","gene15148"
"170","gene23536"
"171","gene22418"
"172","gene11575"
"173","gene22082"
"174","gene19276"
"175","gene26888"
"176","gene21057"
"177","gene2940"
"178","gene9133"
"179","gene14234"
"180","gene26136"
"181","gene12668"
"182","gene21934"
"183","gene25118"
"184","gene17488"
"185","gene6921"
"186","gene16612"
"187","gene3448"
"188","gene15319"
"189","gene2788"
"190","gene24008"
"191","gene11183"
"192","gene17990"
"193","gene11262"
"194","gene13181"
"195","gene22994"
"196","gene18785"
"197","gene26065"
"198","gene25522"
"199","gene17417"
"200","gene18367"
"201","gene24778"
"202","gene24603"
"203","gene6576"
"204","gene9599"
"205","gene19200"
"206","gene2472"
"207","gene19652"
"208","gene24502"
"209","gene5506"
"210","gene11189"
"211","gene17173"
"212","gene25067"
"213","gene26900"
"214","gene6599"
"215","gene24760"
"216","gene9320"
"217","gene12805"
"218","gene22786"
"219","gene5138"
"220","gene9843"
"221","gene23233"
"222","gene2473"
"223","gene11532"
"224","gene7144"
"225","gene17979"
"226","gene6545"
"227","gene19248"
"228","gene4335"
"229","gene23330"
"230","gene13972"
"231","gene1943"
"232","gene13472"
"233","gene204"
"234","gene23028"
"235","gene26069"
"236","gene5464"
"237","gene2264"
"238","gene24660"
"239","gene26206"
"240","gene9076"
"241","gene24514"
"242","gene2571"
"243","gene138"
"244","gene3871"
"245","gene25051"
"246","gene8253"
"247","gene21685"
"248","gene23000"
"249","gene4852"
"250","gene25964"
"251","gene8206"
"252","gene20638"
"253","gene11641"
"254","gene13410"
"255","gene7035"
"256","gene16760"
"257","gene21812"
"258","gene22488"
"259","gene5026"
"260","gene16351"
"261","gene13389"
"262","gene16042"
"263","gene4054"
"264","gene20532"
"265","gene16204"
"266","gene12334"
"267","gene9600"
"268","gene9321"
"269","gene25681"
"270","gene20596"
"271","gene12970"
"272","gene9327"
"273","gene17300"
"274","gene6143"
"275","gene22566"
"276","gene24101"
"277","gene5749"
"278","gene19187"
"279","gene3750"
"280","gene3775"
"281","gene24372"
"282","gene1717"
"283","gene914"
"284","gene864"
"285","gene24693"
"286","gene22979"
"287","gene21020"
"288","gene16776"
"289","gene16930"
"290","gene12683"
"291","gene25321"
"292","gene10334"
"293","gene13427"
"294","gene2557"
"295","gene1353"
"296","gene12200"
"297","gene16517"
"298","gene18064"
"299","gene11879"
"300","gene13007"
"301","gene489"
"302","gene6472"
"303","gene5908"
"304","gene12947"
"305","gene23469"
"306","gene877"
"307","gene24883"
"308","gene6047"
"309","gene11915"
"310","gene19177"
"311","gene12447"
"312","gene15161"
"313","gene22001"
"314","gene25563"
"315","gene103"
"316","gene25708"
"317","gene26467"
"318","gene23548"
"319","gene2390"
"320","gene17903"
"321","gene22993"
"322","gene11105"
"323","gene16659"
"324","gene25703"
"325","gene26735"
"326","gene15164"
"327","gene15687"
"328","gene25834"
"329","gene15609"
"330","gene16326"
"331","gene15924"
"332","gene15439"
"333","gene26763"
"334","gene17987"
"335","gene26344"
"336","gene16774"
"337","gene7415"
"338","gene24203"
"339","gene3978"
"340","gene5525"
"341","gene22943"
"342","gene26295"
"343","gene5524"
"344","gene15262"
"345","gene26965"
"346","gene23491"
"347","gene26493"
"348","gene20293"
"349","gene15488"
"350","gene19043"
"351","gene24012"
"352","gene19041"
"353","gene19139"
"354","gene26928"
"355","gene21295"
"356","gene6212"
"357","gene4576"
"358","gene11204"
"359","gene4493"
"360","gene17909"
"361","gene2281"
"362","gene4494"
"363","gene16789"
"364","gene21488"
"365","gene12548"
"366","gene13885"
"367","gene4138"
"368","gene3891"
"369","gene25260"
"370","gene8922"
"371","gene16127"
"372","gene25634"
"373","gene25780"
"374","gene2889"
"375","gene25633"
"376","gene9845"
"377","gene25099"
"378","gene20565"
"379","gene2876"
"380","gene1669"
"381","gene124"
"382","gene23530"
"383","gene4246"
"384","gene5619"
"385","gene1152"
"386","gene15182"
"387","gene1157"
"388","gene16190"
"389","gene1287"
"390","gene905"
"391","gene7571"
"392","gene20908"
"393","gene20679"
"394","gene6887"
"395","gene948"
"396","gene15597"
"397","rna46623"
"398","gene15630"
"399","gene12799"
"400","gene12696"
"401","gene6127"
"402","gene6885"
"403","gene25693"
"404","gene1439"
"405","gene15661"
"406","gene24449"
"407","gene713"
"408","gene15932"
"409","gene20725"
"410","gene10207"
"411","gene816"
"412","gene6076"
"413","gene22412"
"414","gene5242"
"415","gene6365"
"416","gene22424"
"417","gene14398"
"418","gene3223"
"419","gene16096"
"420","gene16928"
"421","gene12875"
"422","gene15880"
"423","gene7114"
"424","gene18576"
"425","gene18050"
"426","gene9683"
"427","gene3489"
"428","gene12450"
"429","gene1665"
"430","gene26506"
"431","gene4057"
"432","gene2480"
"433","gene1467"
"434","gene12050"
"435","gene25035"
"436","gene6753"
"437","gene14029"
"438","gene10101"
"439","gene3734"
"440","gene23462"
"441","gene11705"
"442","gene18098"
"443","gene18285"
"444","gene9171"
"445","gene7598"
"446","gene18333"
"447","gene10481"
"448","gene1291"
"449","gene9235"
"450","gene2509"
"451","gene23463"
"452","gene780"
"453","gene25072"
"454","gene18060"
"455","gene15543"
"456","gene17634"
"457","gene5737"
"458","gene9206"
"459","gene10128"
"460","gene10518"
"461","gene1002"
"462","gene2906"
"463","gene26508"
"464","gene16766"
"465","gene6924"
