"","liv_degs_uni"
"926","gene14231"
"927","gene6426"
"928","gene16538"
"929","gene4200"
"930","gene323"
"931","gene16726"
"932","gene12816"
"933","gene6992"
"934","gene10763"
"935","gene3754"
"936","gene10420"
"937","gene3420"
"938","gene15394"
"939","gene20596"
"940","gene19248"
"941","gene11651"
"942","gene1800"
"943","gene4942"
"944","gene833"
"945","gene1757"
"946","gene4903"
"947","gene14093"
"948","gene14804"
"949","gene9333"
"950","gene263"
"951","gene110"
"952","gene16891"
"953","gene13256"
"954","gene864"
"955","gene10563"
"956","gene21283"
"957","gene26155"
"958","gene16617"
"959","gene548"
"960","gene24359"
"961","gene14755"
"962","gene21093"
"963","gene16888"
"964","gene26167"
"965","gene16571"
"966","gene17930"
"967","gene21296"
"968","gene7331"
"969","gene3623"
"970","gene22190"
"971","gene3389"
"972","gene3404"
"973","gene1650"
"974","gene10128"
"975","gene13421"
"976","gene3405"
"977","gene4161"
"978","gene4723"
"979","gene13227"
"980","gene14226"
"981","gene19273"
"982","gene13039"
"983","gene11456"
"984","gene13828"
"985","gene3457"
"986","gene12025"
"987","gene12447"
"988","gene13449"
"989","gene4718"
"990","gene334"
"991","gene4216"
"992","gene1732"
"993","gene3978"
"994","gene13412"
"995","gene21869"
"996","gene2888"
"997","gene15904"
"998","gene20354"
"999","gene13247"
"1000","gene15885"
"1001","gene7592"
"1002","gene3477"
"1003","gene4289"
"1004","gene4259"
"1005","gene3397"
"1006","gene11532"
"1007","gene21501"
"1008","gene25513"
"1009","gene11856"
"1010","gene9955"
"1011","gene25813"
"1012","gene12080"
"1013","gene2131"
"1014","gene17914"
"1015","gene9594"
"1016","gene11267"
"1017","gene15415"
"1018","gene10103"
"1019","gene11244"
"1020","gene24586"
"1021","gene2646"
"1022","gene16188"
"1023","gene2280"
"1024","gene18741"
"1025","gene20705"
"1026","gene6995"
"1027","gene3799"
"1028","gene18100"
"1029","gene15733"
"1030","gene20905"
"1031","gene14916"
"1032","gene3977"
"1033","gene12040"
"1034","gene4172"
"1035","gene9733"
"1036","gene10726"
"1037","gene3794"
"1038","gene9760"
"1039","gene15960"
"1040","gene1323"
"1041","gene491"
"1042","gene12797"
"1043","gene17251"
"1044","gene17456"
"1045","gene19257"
"1046","gene3506"
"1047","gene4656"
"1048","gene6656"
"1049","gene1819"
"1050","gene3750"
"1051","gene13150"
"1052","gene4290"
"1053","gene15591"
"1054","gene18380"
"1055","gene11755"
"1056","gene1095"
"1057","gene13786"
"1058","gene10516"
"1059","gene12343"
"1060","gene19689"
"1061","gene20030"
"1062","gene20863"
"1063","gene20754"
"1064","gene13063"
"1065","gene23133"
"1066","gene6140"
"1067","gene12586"
"1068","gene6047"
"1069","gene21020"
"1070","gene25672"
"1071","gene4195"
"1072","gene7231"
"1073","gene22656"
"1074","gene20984"
"1075","gene25721"
"1076","gene14373"
"1077","gene21793"
"1078","gene22628"
"1079","gene302"
"1080","gene21797"
"1081","gene16786"
"1082","gene5351"
"1083","gene21123"
"1084","gene20188"
"1085","gene5336"
"1086","gene24767"
"1087","gene7576"
"1088","gene21295"
"1089","gene20168"
"1090","gene24527"
"1091","gene10581"
"1092","gene21487"
"1093","gene9266"
"1094","gene10302"
"1095","gene3940"
"1096","gene13469"
"1097","gene22523"
"1098","gene17998"
"1099","gene18554"
"1100","gene26059"
"1101","gene16596"
"1102","gene25707"
"1103","gene25708"
"1104","gene17987"
"1105","gene26065"
"1106","gene26928"
"1107","gene16326"
"1108","gene26142"
"1109","gene15513"
"1110","gene15924"
"1111","gene20167"
"1112","gene25834"
"1113","gene16412"
"1114","gene9598"
"1115","gene18535"
"1116","gene848"
"1117","gene22995"
"1118","gene23370"
"1119","gene20544"
"1120","gene16282"
"1121","gene551"
"1122","gene2457"
"1123","gene12780"
"1124","gene16386"
"1125","gene3998"
"1126","gene19139"
"1127","gene5859"
"1128","gene18226"
"1129","gene20893"
"1130","gene22734"
"1131","gene19064"
"1132","gene10162"
"1133","gene16616"
"1134","gene12134"
"1135","gene19197"
"1136","gene16194"
"1137","gene25507"
"1138","gene25691"
"1139","gene23362"
"1140","gene23893"
"1141","gene24007"
"1142","gene2584"
"1143","gene19046"
"1144","gene24152"
"1145","gene7098"
"1146","gene12024"
"1147","gene14670"
"1148","gene11915"
"1149","gene20382"
"1150","gene14756"
"1151","gene22271"
"1152","gene482"
"1153","gene16723"
"1154","gene25703"
"1155","gene3101"
"1156","gene13882"
"1157","gene5776"
"1158","gene2748"
"1159","gene18139"
"1160","gene3989"
"1161","gene16349"
"1162","gene26248"
"1163","gene23002"
"1164","gene16303"
"1165","gene7170"
"1166","gene15374"
"1167","gene3564"
"1168","gene16215"
"1169","gene20871"
"1170","gene22738"
"1171","gene7036"
"1172","gene18656"
"1173","gene17992"
"1174","gene13037"
"1175","gene18448"
"1176","gene24268"
"1177","gene1583"
"1178","gene969"
"1179","gene13278"
"1180","gene22519"
"1181","gene2218"
"1182","gene13448"
"1183","gene24464"
"1184","gene3135"
"1185","gene23135"
"1186","gene3893"
"1187","gene24955"
"1188","gene14511"
"1189","gene23116"
"1190","gene16694"
"1191","gene11368"
"1192","gene4178"
"1193","gene8402"
"1194","gene12986"
"1195","gene7201"
"1196","gene820"
"1197","gene2376"
"1198","gene7383"
"1199","gene22425"
"1200","gene17460"
"1201","gene10720"
"1202","gene20236"
"1203","gene26717"
"1204","gene14590"
"1205","gene14547"
"1206","gene13282"
"1207","gene17106"
"1208","gene12609"
"1209","gene24722"
"1210","gene14788"
"1211","gene5296"
"1212","gene1335"
"1213","gene4529"
"1214","gene1050"
"1215","gene22193"
"1216","gene8301"
"1217","gene23037"
"1218","gene23038"
"1219","gene24717"
"1220","gene13891"
"1221","gene19022"
"1222","gene3968"
"1223","gene10001"
"1224","gene20134"
"1225","gene25420"
"1226","gene16263"
"1227","gene9276"
"1228","gene16695"
"1229","gene5086"
"1230","gene16774"
"1231","gene25722"
"1232","gene13999"
"1233","gene23102"
"1234","gene26367"
"1235","gene24269"
"1236","gene25941"
"1237","gene20414"
"1238","gene16687"
"1239","gene25422"
"1240","gene5609"
"1241","gene12529"
"1242","gene4828"
"1243","gene1530"
"1244","gene23484"
"1245","gene6408"
"1246","gene12968"
"1247","gene13172"
"1248","gene14468"
"1249","gene22418"
"1250","gene8306"
"1251","gene24970"
"1252","gene15197"
"1253","gene13183"
"1254","gene2042"
"1255","gene23990"
"1256","gene16379"
"1257","gene13285"
"1258","gene6231"
"1259","gene8241"
"1260","gene11296"
"1261","gene23424"
"1262","gene10899"
"1263","gene11181"
"1264","gene8295"
"1265","gene11284"
"1266","gene14610"
"1267","gene22283"
"1268","gene18410"
"1269","gene205"
"1270","gene6625"
"1271","gene15256"
"1272","gene13930"
"1273","gene20721"
"1274","gene12925"
"1275","gene3119"
"1276","gene14244"
"1277","gene26578"
"1278","gene22464"
"1279","gene16696"
"1280","gene20355"
"1281","gene16139"
"1282","gene12103"
"1283","gene26326"
"1284","gene12106"
"1285","gene8382"
"1286","gene17422"
"1287","gene3108"
"1288","gene9007"
"1289","gene7061"
"1290","gene24675"
"1291","gene20478"
"1292","gene15507"
"1293","gene21121"
"1294","gene6661"
"1295","gene677"
"1296","gene2204"
"1297","gene16832"
"1298","gene14813"
"1299","gene2426"
"1300","gene3440"
"1301","gene20170"
"1302","gene10590"
"1303","gene5011"
"1304","gene12033"
"1305","gene22918"
"1306","gene8307"
"1307","gene6814"
"1308","gene275"
"1309","gene13933"
"1310","gene21848"
"1311","gene15770"
"1312","gene3192"
"1313","gene21904"
"1314","gene307"
"1315","gene3369"
"1316","gene10613"
"1317","gene13807"
"1318","gene554"
"1319","gene10952"
"1320","gene11240"
"1321","gene16606"
"1322","gene10405"
"1323","gene23964"
"1324","gene14776"
"1325","gene11643"
"1326","gene25109"
"1327","gene341"
"1328","gene10341"
"1329","gene24993"
"1330","gene1282"
"1331","gene11187"
"1332","gene17900"
"1333","gene20972"
"1334","gene26505"
"1335","gene5110"
"1336","gene5111"
"1337","gene15377"
"1338","gene5107"
"1339","gene16516"
"1340","gene16688"
"1341","gene17201"
"1342","gene18088"
"1343","gene10003"
"1344","gene16689"
"1345","gene17019"
"1346","gene2111"
"1347","gene6691"
"1348","gene25421"
"1349","gene5108"
"1350","gene15356"
"1351","gene24969"
"1352","gene25423"
"1353","gene24984"
"1354","gene10004"
"1355","gene24983"
"1356","gene8320"
"1357","gene10005"
"1358","gene25419"
"1359","gene16666"
"1360","gene3560"
"1361","gene2831"
"1362","gene10310"
"1363","gene16928"
"1364","gene2939"
"1365","gene3422"
"1366","gene10127"
"1367","gene15846"
"1368","gene8915"
"1369","gene16191"
"1370","gene10521"
"1371","gene21239"
"1372","gene22719"
"1373","gene6033"
"1374","gene2054"
"1375","gene12357"
"1376","gene18616"
"1377","gene12133"
"1378","gene163"
"1379","gene162"
"1380","gene2158"
"1381","gene22724"
"1382","gene23006"
"1383","gene4917"
"1384","id498831"
"1385","gene3870"
"1386","gene7595"
"1387","gene12183"
"1388","gene21755"
"1389","gene24591"
"1390","gene3982"
"1391","gene1268"
"1392","gene8206"
"1393","gene19787"
"1394","gene21277"
"1395","gene10570"
"1396","gene127"
"1397","gene23132"
"1398","gene25594"
"1399","gene3958"
"1400","gene5524"
"1401","gene22131"
"1402","gene13621"
"1403","gene2580"
"1404","gene13622"
"1405","gene25081"
"1406","gene12334"
"1407","gene10344"
"1408","gene26131"
"1409","gene8237"
"1410","gene21140"
"1411","gene13699"
"1412","gene13466"
"1413","gene11312"
"1414","gene14125"
"1415","gene1845"
"1416","gene10926"
"1417","gene14608"
"1418","gene24392"
"1419","gene5975"
"1420","gene15665"
"1421","gene9845"
"1422","gene16569"
"1423","gene17997"
"1424","gene20338"
"1425","gene3542"
"1426","gene11039"
"1427","gene20904"
"1428","gene24379"
"1429","gene13596"
"1430","gene23474"
"1431","gene9318"
"1432","gene3331"
"1433","gene14910"
"1434","gene24912"
"1435","gene15781"
"1436","gene485"
"1437","gene15616"
"1438","gene25760"
"1439","gene2578"
"1440","gene8318"
"1441","gene24702"
"1442","gene1223"
"1443","gene5750"
"1444","gene17079"
"1445","gene17114"
"1446","gene15618"
"1447","gene4834"
"1448","gene17613"
"1449","gene21828"
"1450","gene6086"
"1451","gene2821"
"1452","gene5633"
"1453","gene14510"
"1454","gene617"
"1455","gene23509"
"1456","gene5704"
"1457","gene12683"
"1458","gene5308"
"1459","gene914"
"1460","gene15261"
"1461","gene21691"
"1462","gene2752"
"1463","gene24267"
"1464","gene19092"
"1465","gene6319"
"1466","gene4409"
"1467","gene618"
"1468","gene14204"
"1469","gene20214"
"1470","gene6038"
"1471","gene10101"
"1472","gene659"
"1473","gene11903"
"1474","gene1238"
"1475","gene20313"
"1476","gene5428"
"1477","gene6642"
"1478","gene15340"
"1479","gene9666"
"1480","gene16684"
"1481","gene7121"
"1482","gene3595"
"1483","gene4967"
"1484","gene17588"
"1485","rna46614"
"1486","rna46619"
"1487","gene17402"
"1488","gene21762"
"1489","gene4010"
"1490","gene6045"
"1491","gene3744"
"1492","gene9444"
"1493","gene12904"
"1494","gene9544"
"1495","gene3504"
"1496","gene11137"
"1497","gene19021"
"1498","gene16348"
"1499","gene22632"
"1500","gene15573"
"1501","gene2230"
"1502","gene10794"
"1503","gene12668"
"1504","gene18633"
"1505","gene18161"
"1506","gene17830"
"1507","gene6865"
"1508","gene7356"
"1509","gene9732"
"1510","gene17320"
"1511","gene14074"
"1512","gene16438"
"1513","gene15627"
"1514","gene16008"
"1515","gene2429"
"1516","gene2478"
"1517","gene11995"
"1518","gene16683"
"1519","gene2228"
"1520","gene4197"
"1521","gene10220"
"1522","gene12806"
"1523","gene835"
"1524","gene7318"
"1525","gene3453"
"1526","gene11847"
"1527","gene4313"
"1528","gene4708"
"1529","gene14469"
"1530","gene16161"
"1531","gene19827"
"1532","gene2273"
"1533","gene1111"
"1534","gene13005"
"1535","gene7220"
"1536","gene15350"
"1537","gene16494"
"1538","gene18829"
"1539","gene24071"
"1540","gene130"
"1541","gene16517"
"1542","gene5687"
"1543","gene6087"
"1544","gene6856"
"1545","gene17199"
"1546","gene7158"
"1547","gene2014"
"1548","gene16208"
"1549","gene17945"
"1550","gene2196"
"1551","gene14557"
"1552","gene18364"
"1553","gene18351"
"1554","gene23000"
"1555","gene5797"
"1556","gene16844"
"1557","gene21010"
"1558","gene11573"
"1559","gene7491"
"1560","gene26015"
"1561","gene5588"
"1562","gene18785"
"1563","gene9702"
"1564","gene9797"
"1565","gene18355"
"1566","gene16850"
"1567","gene4738"
"1568","gene1055"
"1569","gene16618"
"1570","gene19902"
"1571","gene19927"
"1572","gene15329"
"1573","gene19042"
"1574","gene26670"
"1575","gene22916"
"1576","gene814"
"1577","gene22011"
"1578","gene25956"
"1579","gene21800"
"1580","gene8309"
"1581","gene18874"
"1582","gene12086"
"1583","gene19194"
"1584","gene3874"
"1585","gene17985"
"1586","gene21922"
"1587","gene26711"
"1588","gene856"
"1589","gene6090"
"1590","gene3734"
"1591","gene1694"
"1592","gene17123"
"1593","gene17014"
"1594","gene13850"
"1595","gene21048"
"1596","gene218"
"1597","gene25233"
"1598","gene5666"
"1599","gene24212"
"1600","gene5109"
"1601","gene17015"
"1602","gene13886"
"1603","gene10241"
"1604","gene6851"
"1605","gene10809"
"1606","gene20225"
"1607","gene24535"
"1608","gene15888"
"1609","gene4404"
"1610","gene25824"
"1611","gene9876"
"1612","gene6479"
"1613","gene1562"
"1614","gene6752"
"1615","gene14908"
"1616","gene16693"
"1617","gene2320"
"1618","gene9653"
"1619","gene12285"
"1620","gene2432"
"1621","gene1293"
"1622","gene23122"
"1623","gene21005"
"1624","gene13008"
"1625","gene17533"
"1626","gene3563"
"1627","gene867"
"1628","gene1685"
"1629","gene7504"
"1630","gene11993"
"1631","gene15776"
"1632","gene10518"
"1633","gene16362"
"1634","gene7164"
"1635","gene17539"
"1636","gene21024"
"1637","gene9688"
"1638","gene4130"
"1639","gene6838"
"1640","gene822"
"1641","gene21898"
"1642","gene16427"
"1643","gene9592"
"1644","gene14429"
"1645","gene11189"
"1646","gene9593"
"1647","gene615"
"1648","gene6613"
"1649","gene6173"
"1650","gene1616"
"1651","gene20831"
"1652","gene20888"
"1653","gene14803"
"1654","gene6958"
"1655","gene17545"
"1656","gene2141"
"1657","gene16296"
"1658","gene1709"
"1659","gene14606"
"1660","gene4694"
"1661","gene16228"
"1662","gene20490"
"1663","gene12751"
"1664","gene17577"
"1665","gene16902"
"1666","gene14039"
"1667","gene20883"
"1668","gene995"
"1669","gene16153"
"1670","gene2395"
"1671","gene1147"
"1672","gene14593"
"1673","gene22736"
"1674","gene2510"
"1675","gene6828"
"1676","gene3636"
"1677","gene4354"
"1678","gene10281"
"1679","gene11349"
"1680","gene992"
"1681","gene18194"
"1682","gene10697"
"1683","gene12099"
"1684","gene20491"
"1685","gene12717"
"1686","gene16108"
"1687","gene22718"
"1688","gene2083"
"1689","gene16309"
"1690","gene14725"
"1691","gene18600"
"1692","gene18601"
"1693","gene6178"
"1694","gene22971"
"1695","gene16005"
"1696","gene24704"
"1697","gene17606"
"1698","gene21025"
"1699","gene15051"
"1700","gene1762"
"1701","gene4418"
"1702","gene15929"
"1703","gene12742"
"1704","gene17892"
"1705","gene18153"
"1706","gene11612"
"1707","gene6223"
"1708","gene10257"
"1709","gene20417"
"1710","gene5820"
"1711","gene4586"
"1712","gene22412"
"1713","gene18752"
"1714","gene3240"
"1715","gene15319"
"1716","gene17617"
"1717","gene160"
"1718","gene19616"
"1719","gene12770"
"1720","gene11151"
"1721","gene17269"
"1722","gene5066"
"1723","gene5816"
"1724","gene16351"
"1725","gene24178"
"1726","gene22252"
"1727","gene6450"
"1728","gene10981"
"1729","gene17635"
"1730","gene26520"
"1731","gene12132"
"1732","gene14353"
"1733","gene16840"
"1734","gene16176"
"1735","gene16232"
"1736","gene21238"
"1737","gene17434"
"1738","gene25484"
"1739","gene1661"
"1740","gene17472"
"1741","gene11468"
"1742","gene6322"
"1743","gene14767"
"1744","gene16195"
"1745","gene14375"
"1746","gene17827"
"1747","gene3312"
"1748","gene12398"
"1749","gene13539"
"1750","gene189"
"1751","gene9170"
"1752","gene12881"
"1753","gene24532"
"1754","gene25082"
"1755","gene23028"
"1756","gene23079"
"1757","gene21644"
"1758","gene13614"
"1759","gene23210"
"1760","gene22135"
"1761","gene17223"
"1762","gene24015"
"1763","gene23345"
"1764","gene11155"
"1765","gene5028"
"1766","gene22028"
"1767","gene12224"
"1768","gene21191"
"1769","gene8919"
"1770","gene5402"
"1771","gene492"
"1772","gene10728"
"1773","gene13011"
"1774","gene23004"
"1775","gene881"
"1776","gene14043"
"1777","gene13427"
"1778","gene1890"
"1779","gene14209"
"1780","gene15396"
"1781","gene15380"
"1782","gene9725"
"1783","gene1353"
"1784","gene10501"
"1785","gene18670"
"1786","gene23965"
"1787","gene8222"
"1788","gene16868"
"1789","gene16867"
"1790","gene21139"
"1791","gene3548"
"1792","gene19863"
"1793","gene25743"
"1794","gene11759"
"1795","gene14697"
"1796","gene17398"
"1797","gene1592"
"1798","gene12412"
"1799","gene26738"
